source_id,source_type,source_platform,source_url,video_title,uploader_or_dataset,species_common_name,species_scientific_name,assigned_class,species_verification_source,venom_status_verification_source,label_verification_status,license,license_url_or_statement,license_verification_status,download_allowed,download_status,local_filename,sha256,duration_seconds,resolution,fps,frame_count,file_size_bytes,date_collected,eligible_for_dataset,exclusion_reason,source_group_id,notes
WEB_V001,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Colubrine_sea_krait_(Laticauda_colubrina).webm,Colubrine sea krait (Laticauda colubrina),operation blue,Yellow-lipped sea krait,Laticauda colubrina,Venomous_Snake,https://commons.wikimedia.org/wiki/File:Colubrine_sea_krait_(Laticauda_colubrina).webm,https://www.nparks.gov.sg/florafaunaweb/fauna/2/4/247,VERIFIED,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,VERIFIED,YES,DOWNLOADED,laticauda_colubrina_samal.webm,536a4aa97123c549b1d6dad3e5dfc24fbfa1343e73b484a271e46c01c4599b3c,136.344542,1920x1080,23.976024,3269,48720843,PENDING,YES,,snake_source_group_001,
WEB_V002,web_collected,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Sea_Snake_eating_Moray_Eel,_Fiji_(Laticauda_colubrina_vs._Gymnothorax_sp.).webm",Sea Snake eating Moray Eel Fiji (Laticauda colubrina vs. Gymnothorax sp.),Bruce Carlson,Yellow-lipped sea krait,Laticauda colubrina,Venomous_Snake,"https://commons.wikimedia.org/wiki/File:Sea_Snake_eating_Moray_Eel,_Fiji_(Laticauda_colubrina_vs._Gymnothorax_sp.).webm",https://www.nparks.gov.sg/florafaunaweb/fauna/2/4/247,VERIFIED,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,VERIFIED,YES,DOWNLOADED,laticauda_colubrina_fiji_feeding.webm,231f8d52f5a53b32a985fd2d275071a5ecd0c5603de904cc718d4364dc732d49,63.096367,720x480,29.970030,1891,8115814,PENDING,YES,,snake_source_group_002,
WEB_V003,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Iran_-_Pseudocerastes_urarachnoides_2015.webm,Iran - Pseudocerastes urarachnoides 2015,Fathinia et al.,Spider-tailed horned viper,Pseudocerastes urarachnoides,Venomous_Snake,https://brill.com/view/journals/amre/36/3/article-p223_4.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC7913145/,VERIFIED,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,VERIFIED,YES,DOWNLOADED,pseudocerastes_urarachnoides_iran.webm,6814632a9a62e6c68c593253b453ccd9792df4b920450084d2271740087154e4,48.480000,1920x1080,25.000000,1212,16381553,PENDING,YES,,snake_source_group_003,
WEB_V004,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Timber_rattlesnake_(Crotalus_horridus)_in_Pennsylvania.webm,Timber rattlesnake (Crotalus horridus) in Pennsylvania,Richard Bonnett,Timber rattlesnake,Crotalus horridus,Venomous_Snake,https://commons.wikimedia.org/wiki/File:Timber_rattlesnake_(Crotalus_horridus)_in_Pennsylvania.webm,https://www.ncwildlife.gov/species/timber-rattlesnake,VERIFIED,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,VERIFIED,YES,DOWNLOADED,crotalus_horridus_pennsylvania.webm,cf668d0677dbbd8f14c29062815201b689e9c2b0668637e773615912a9aff929,21.254567,640x480,29.970030,637,11246946,PENDING,YES,,snake_source_group_004,
WEB_NV001,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Blackneck_garter_snake_(Thamnophis_cyrtopsis).webm,Blackneck garter snake (Thamnophis cyrtopsis),Katja Schulz,Black-necked garter snake,Thamnophis cyrtopsis,Non_Venomous_Snake,https://commons.wikimedia.org/wiki/File:Blackneck_garter_snake_(Thamnophis_cyrtopsis).webm,https://www.biokids.umich.edu/critters/Thamnophis_cyrtopsis/,VERIFIED,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,VERIFIED,YES,DOWNLOADED,thamnophis_cyrtopsis_arizona.webm,afb3dc424d964b1003a38150ecdbc4f7b048da272b13b239472973514481d7a2,90.023267,640x480,29.970030,2698,33547163,PENDING,YES,,snake_source_group_005,
WEB_NV002,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Dice_snake_(Natrix_tessellata)_hiding_beneath_a_rock_underwater.webm,Dice snake (Natrix tessellata) hiding beneath a rock underwater,Liquid Art,Dice snake,Natrix tessellata,Non_Venomous_Snake,https://commons.wikimedia.org/wiki/File:Dice_snake_(Natrix_tessellata)_hiding_beneath_a_rock_underwater.webm,https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=1194,VERIFIED,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,VERIFIED,YES,DOWNLOADED,natrix_tessellata_montenegro.webm,b6f7103453fb60352309b4cdef26f4434e0dab856960526b6bcc387b59c80223,13.040000,1920x1080,25.000000,326,55291938,PENDING,YES,,snake_source_group_006,
WEB_NV003,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Elaphe_climacophora_-_Japanese_rat_snake_-_2015_10_4.webm,Elaphe climacophora - Japanese rat snake - 2015 10 4,Nesnad,Japanese rat snake,Elaphe climacophora,Non_Venomous_Snake,https://commons.wikimedia.org/wiki/File:Elaphe_climacophora_-_Japanese_rat_snake_-_2015_10_4.webm,https://www.ffpri.go.jp/tmk/en/visit/garden-highlights/amphibian-reptiles/japanese-ratsnake.html,VERIFIED,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,VERIFIED,YES,DOWNLOADED,elaphe_climacophora_japan.webm,78328983a941f24483ebedea1005183d8429586d6a19c66b0af8ade30c3bd9a0,20.520500,1920x1080,29.970030,615,6078316,PENDING,YES,,snake_source_group_007,
WEB_NV004,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ball_python_(Python_regius)_in_a_zoo.webm,Ball python (Python regius) in a zoo,Trevor Zoo at Millbrook School,Ball python,Python regius,Non_Venomous_Snake,https://commons.wikimedia.org/wiki/File:Ball_python_(Python_regius)_in_a_zoo.webm,https://www.belfastcity.gov.uk/zoo/our-animals/reptiles/royal-python,VERIFIED,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,VERIFIED,YES,DOWNLOADED,python_regius_zoo.webm,babc3e7bef3c3d3ef4b088ef365ba137dd858ee48770913baae7d9533a385f2b,53.136417,1920x1080,23.976024,1274,18968316,PENDING,YES,,snake_source_group_008,
WEB_U001,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cobra_video_2017.webm,Cobra video 2017,Bernard DUPONT,,,Unverified,https://commons.wikimedia.org/wiki/File:Cobra_video_2017.webm,,UNVERIFIED,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,VERIFIED,NO,SKIPPED_UNVERIFIED_LABEL,,,,,,,,2026-09-01,NO,SPECIES_IDENTITY_UNCLEAR,,Commons categorizes the animal only as unidentified Naja; not downloaded or labeled.
WEB_U002,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Snake_video.webm,Snake video,Michael Pereckas,,,Unverified,https://commons.wikimedia.org/wiki/File:Snake_video.webm,,UNVERIFIED,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,VERIFIED,NO,SKIPPED_UNVERIFIED_LABEL,,,,,,,,2026-09-01,NO,SPECIES_IDENTITY_UNCLEAR,,No species identification in source metadata; not downloaded or labeled.
WEB_U003,web_collected,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bobcat_and_rattlesnake_interaction_in_Tucson.webm,Bobcat and rattlesnake interaction in Tucson,USFWS,,,Unverified,https://commons.wikimedia.org/wiki/File:Bobcat_and_rattlesnake_interaction_in_Tucson.webm,,UNVERIFIED,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,VERIFIED,NO,SKIPPED_UNVERIFIED_LABEL,,,,,,,,2026-09-01,NO,SPECIES_IDENTITY_UNCLEAR,,Rattlesnake species is not established in the source title/metadata; not downloaded or labeled.
